ESDname,number of schools in district,School Name,ODS Provider,Other ODS option,Estimated Cost From School,Grade 5 Students,Grade 6 Students,days and nights,"total price per student, calculated from school data",Is the money enough,If less than threshold,ODS Provider Fees,Transportation,Personell Stipends,Program Costs (w/o admin fees),total cost - PRELIMINARY,,,
North Powder SD 8J,1,North Powder Elementary,Buck Creek Cabin,,,24,22,3 Days 2 Nights,0,Yes,197,,,,,9062, , , 
Ione SD R2,1,Ione Community School,None (School / Applying District is provider),,,0,12,4 Days 3 Nights,0,Yes,440,,,,,5280, , , 
Elgin SD 23,1,Stella Mayfield Elementary,None (School / Applying District is provider),,,30,30,4 Days 3 Nights,0,Yes,250,,,,,15000, , , 
Milton-Freewater Unified SD 7,1,Freewater Elementary School,None (School / Applying District is provider),,,130,0,3 Days 2 Nights,0,Yes,198,,,,,25740, , , 
Jefferson County SD 509J,2,Jefferson County Middle School ,Camp Tamarack,,Provider Costs,0,165,3 Days 2 Nights,180,No,,180,10,,,29700, , , 
Jefferson County SD 509J,2,Warm Springs K-8 Academy,Camp Tamarack,,Provider Costs,66,0,3 Days 2 Nights,180,No,,180,10,,,11880, , , 
Grants Pass SD 7,1,South Middle School,None (School / Applying District is provider),,"Traveling Long Distance to Facility,Provider Costs,Other",0,240,3 Days 2 Nights,0,No,,,,,,no price per student found, , , 
Creswell SD 40,1,Creswell Middle School,None (School / Applying District is provider),,,0,100,4 Days 3 Nights,0,Yes,150,,,,,15000, , , 
Pilot Rock SD 2,1,Pilot Rock Jr/Sr High School,None (School / Applying District is provider),,,0,32,4 Days 3 Nights,0,Yes,248,,,,,7936, , , 
Neah-Kah-Nie SD 56,1,Neah-Kah-Nie Middle School,Northwest Regional Education Service District,,,0,75,4 Days 3 Nights,0,Yes,300,,,,,22500, , , 
Harper SD 66,1,Harper Charter School,None (School / Applying District is provider),,"Traveling Long Distance to Facility,Small Class Size",8,0,3 Days 2 Nights,0,No,,,,,,no price per student found, , , 
Pleasant Hill SD 1,1,Pleasant Hill High School (Middle),None (School / Applying District is provider),,,0,78,4 Days 3 Nights,0,Yes,248,,,,,19344, , , 
Crook County SD,4,Crook County Middle School,None (School / Applying District is provider),,,0,207,5 Days 4 Nights,0,Yes,304,,,,,62928, , , 
Crook County SD,4,Paulina Elementary School,None (School / Applying District is provider),,,0,2,5 Days 4 Nights,0,Yes,304,,,,,608, , , 
Crook County SD,4,Brothers Elementary School,None (School / Applying District is provider),,,0,2,5 Days 4 Nights,0,Yes,304,,,,,608, , , 
Crook County SD,4,Powell Butte Community Charter School,None (School / Applying District is provider),,,0,27,5 Days 4 Nights,0,Yes,304,,,,,8208, , , 
Adrian SD 61,1,Adrian School District,Other,Lake Creek Campground,,0,27,4 Days 3 Nights,0,Yes,248,,,,,6696, , , 
Imbler SD 11,1,Imbler Elementary School,None (School / Applying District is provider),,,0,25,3 Days 2 Nights,0,Yes,198,,,,,4950, , , 
,1,slakd,,,,12,0,,0,,,,,,,no price per student found, , , 
Harney County SD 3,1,Hines Middle School,OMSI,,,0,65,3 Days 2 Nights,0,Yes,195,,,,,12675, , , 
Jewell SD 8,1,Jewell School ,Northwest Regional Education Service District,,Traveling Long Distance to Facility,0,13,4 Days 3 Nights,284,No,,239,20,45,,3692, , , 
Winston-Dillard SD 116,2,Lookingglass Elementary,OMSI,,,35,28,5 Days 4 Nights,0,Yes,330,,,,,20790, , , 
Winston-Dillard SD 116,2,McGovern Elementary,OMSI,,,75,80,5 Days 4 Nights,0,Yes,320,,,,,49600, , , 
Cove SD 15,1,Cove Charter School,Undecided,,"Traveling Long Distance to Facility,Provider Costs,Other",0,25,3 Days 2 Nights,205,No,,155,48,50,,5125, , , 
Pendleton SD 16,1,Sunridge Middle School,Buck Creek Cabin,,,0,280,3 Days 2 Nights,0,Yes,160,,,,,44800, , , 
Cascade SD 5,1,Cascade Junior High,None (School / Applying District is provider),,,0,165,5 Days 4 Nights,0,Yes,200,,,,,33000, , , 
Athena-Weston SD 29RJ,1,Weston Middle School,None (School / Applying District is provider),,,0,60,5 Days 0 Nights,0,Yes,135,,,,,8100, , , 
Hood River County SD,2,Hood River Middle School,Multnomah Education Service District,,"Traveling Long Distance to Facility,Special Needs of Students require additional staff/special travel arrangements,Provider Costs,Translation or Interpretation Services",0,195,4 Days 3 Nights,442,No,,425,7,17,,86190, , , 
Hood River County SD,2,Wy'east Middle School,Multnomah Education Service District,,"Traveling Long Distance to Facility,Special Needs of Students require additional staff/special travel arrangements,Provider Costs,Translation or Interpretation Services",0,125,4 Days 3 Nights,445,No,,425,8,20,,55625, , , 
Yamhill Carlton SD 1,1,Yamhill Carlton Intermediate School,Northwest Regional Education Service District,,,0,80,4 Days 3 Nights,0,Yes,248,,,,,19840, , , 
North Marion SD 15,1,North Marion Middle School,Multnomah Education Service District,,"Traveling Long Distance to Facility,Special Needs of Students require additional staff/special travel arrangements,Provider Costs",0,150,3 Days 2 Nights,0,No,,,,,,no price per student found, , , 
Blachly SD 90,1,Triangle Lake Charter School ,None (School / Applying District is provider),,"Need Supplies and Material to start Outdoor School Experience,Small Class Size,Other",21,0,6 Days 5 Nights,0,No,,,,,,no price per student found, , , 
Centennial SD 28J,7,Oliver Elementary,Multnomah Education Service District,,"Need Supplies and Material to start Outdoor School Experience,Special Needs of Students require additional staff/special travel arrangements,Provider Costs,Translation or Interpretation Services",0,50,6 Days 5 Nights,504,No,,478,,26,,25200, , , 
Centennial SD 28J,7,Parklane Elementary,Multnomah Education Service District,,"Need Supplies and Material to start Outdoor School Experience,Special Needs of Students require additional staff/special travel arrangements,Provider Costs,Translation or Interpretation Services",0,52,6 Days 5 Nights,503,No,,478,,25,,26156, , , 
Centennial SD 28J,7,Wood Elementary,Multnomah Education Service District,,"Need Supplies and Material to start Outdoor School Experience,Special Needs of Students require additional staff/special travel arrangements,Provider Costs,Translation or Interpretation Services",0,74,6 Days 5 Nights,505,No,,478,,27,,37370, , , 
Centennial SD 28J,7,Patrick Lynch Elementary,Multnomah Education Service District,,"Need Supplies and Material to start Outdoor School Experience,Special Needs of Students require additional staff/special travel arrangements,Provider Costs,Translation or Interpretation Services",0,77,6 Days 5 Nights,503,No,,478,,25,,38731, , , 
